listing_id,name,host_id,host_name,host_city,host_state,host_country,neighbourhood,property_type,room_type,review_scores_rating
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Private room in apartment,Private room,98
20168,Studio with private bathroom in the centre 1,59484,Alexander,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Private room in townhouse,Private room,89
25428,"Lovely, spacious 1 bed apt in Center(with lift)",56142,Joan,New York,New York,United States,Centrum-West,Entire apartment,Entire home/apt,100
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in houseboat,Private room,99
28871,Comfortable double room,124245,Edwin,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Private room in apartment,Private room,97
29051,Comfortable single room,124245,Edwin,Amsterdam,North Holland,The Netherlands,Centrum-Oost,Private room in apartment,Private room,95
31080,2-story apartment + rooftop terrace,133488,Nienke,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,95
41125,Amsterdam Center Entire Apartment,178515,Fatih,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,96
43109,Oasis in the middle of Amsterdam,188098,Aukje,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,98
44129,Luxury design with canal view,187728,Tatiana,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire apartment,Entire home/apt,98
46386,Cozy loft in central Amsterdam,207342,Joost,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Entire apartment,Entire home/apt,93
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,Amsterdam,North Holland,The Netherlands,Centrum-West,Entire guest suite,Entire home/apt,98
49790,Luxurous Houseboat-Great Location,227530,Klaas,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Boat,Entire home/apt,99
50515,"Family Home (No drugs, smoking or parties)",231864,Karin,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire townhouse,Entire home/apt,95
50523,B & B de 9 Straatjes (city center),231946,Raymond,Amsterdam,North Holland,The Netherlands,Centrum-West,Private room in bed and breakfast,Private room,97
52490,Amsterdam Aqua,185836,VictorLuke,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Private room in apartment,Private room,92
53067,Spacious studio at the attic of a townhouse,246493,DoJo,Amsterdam,North Holland,The Netherlands,De Pijp - Rivierenbuurt,Private room in guesthouse,Private room,93
